frame_id,class_id,class_name,confidence,x1,y1,x2,y2,track_id
0,8,boat,0.1485138237476349,351.16571044921875,0.27017879486083984,429.35638427734375,17.53533935546875,
1,8,boat,0.15198186039924622,351.23052978515625,0.16507339477539062,431.79852294921875,18.20724868774414,
1,8,boat,0.14981597661972046,351.59210205078125,0.4522686004638672,425.88665771484375,13.786386489868164,
2,8,boat,0.19243395328521729,362.05755615234375,0.7029848098754883,425.38507080078125,13.160228729248047,
2,8,boat,0.11980319023132324,351.0992126464844,0.22350597381591797,432.2159729003906,19.045246124267578,
3,8,boat,0.12850457429885864,350.4643249511719,0.315765380859375,432.9275817871094,20.85724639892578,
4,8,boat,0.14984604716300964,349.97802734375,0.16472434997558594,434.43902587890625,19.121164321899414,
4,8,boat,0.12012641131877899,351.1622619628906,0.6467571258544922,426.9402160644531,13.558145523071289,
5,8,boat,0.1702197939157486,350.3779602050781,0.21587753295898438,436.2292175292969,21.824691772460938,
5,8,boat,0.16193661093711853,358.3243408203125,0.8242263793945312,426.6591796875,13.640697479248047,
6,8,boat,0.20549644529819489,353.33538818359375,0.8640708923339844,426.24871826171875,12.971221923828125,
6,8,boat,0.17090025544166565,349.44293212890625,0.2565288543701172,433.18865966796875,17.406503677368164,
7,8,boat,0.1675996631383896,349.7818603515625,0.3994302749633789,433.01318359375,19.82012176513672,
7,8,boat,0.1445305347442627,353.26806640625,0.9672279357910156,425.77923583984375,13.45009994506836,
8,8,boat,0.11822419613599777,360.57476806640625,0.8568458557128906,425.17303466796875,12.307182312011719,
8,8,boat,0.10954288393259048,351.0455017089844,0.35137939453125,434.6872863769531,18.08963394165039,
9,8,boat,0.11454816907644272,350.3875732421875,0.4061088562011719,433.174560546875,20.91828155517578,
10,8,boat,0.11158893257379532,350.5311584472656,0.4290323257446289,430.8017272949219,20.873397827148438,
20,8,boat,0.10788293182849884,350.4906005859375,0.15379905700683594,432.3013916015625,17.490312576293945,
22,8,boat,0.12062587589025497,350.5780029296875,0.13497161865234375,432.072021484375,17.794036865234375,
45,8,boat,0.11422091722488403,359.6905517578125,0.7483863830566406,424.8719482421875,12.169532775878906,
55,8,boat,0.10357915610074997,350.8795471191406,0.24080657958984375,432.3562927246094,16.18871307373047,
64,8,boat,0.10141866654157639,231.19451904296875,4.69403076171875,636.3489379882812,355.84661865234375,
66,8,boat,0.2262907773256302,231.035400390625,3.87310791015625,634.61962890625,355.61724853515625,
71,14,bird,0.11193636804819107,597.4520263671875,99.07110595703125,639.7603759765625,154.37347412109375,
76,8,boat,0.10737619549036026,359.1752014160156,0.8342132568359375,423.9905090332031,12.671195983886719,
78,8,boat,0.10578784346580505,359.73016357421875,0.7481069564819336,424.103271484375,12.092918395996094,
79,8,boat,0.12567825615406036,359.87939453125,0.9199581146240234,424.053955078125,12.35200309753418,
80,8,boat,0.13184155523777008,359.86175537109375,0.7384271621704102,423.89520263671875,11.922630310058594,
81,8,boat,0.10984454303979874,360.99749755859375,0.6179447174072266,423.97674560546875,12.00847053527832,
93,8,boat,0.14402729272842407,359.25836181640625,0.8619709014892578,424.683837890625,12.813985824584961,
114,8,boat,0.13651372492313385,361.3534240722656,1.211740493774414,424.6663513183594,12.491601943969727,
122,8,boat,0.1052054613828659,358.591552734375,1.1497488021850586,426.0516357421875,13.196861267089844,
123,8,boat,0.1098584234714508,359.2613830566406,0.9615097045898438,425.9571228027344,13.357845306396484,
124,8,boat,0.11678995937108994,358.3675537109375,0.8221950531005859,425.8223876953125,13.249361038208008,
124,8,boat,0.10565093159675598,351.41473388671875,0.2616090774536133,434.58599853515625,15.166797637939453,
125,8,boat,0.12175624817609787,359.3648376464844,0.9389791488647461,425.4869079589844,12.552886962890625,
135,8,boat,0.13442258536815643,360.9908447265625,1.2017898559570312,425.1669921875,11.968734741210938,
136,8,boat,0.11596118658781052,361.12750244140625,1.0858516693115234,425.68170166015625,12.350095748901367,
139,8,boat,0.12589536607265472,361.0262451171875,1.0714120864868164,425.216064453125,12.46063232421875,
156,8,boat,0.10687898099422455,359.93914794921875,1.2206764221191406,425.15911865234375,12.940441131591797,
192,8,boat,0.1334047168493271,358.8502197265625,1.6130542755126953,425.8182373046875,13.244916915893555,
192,8,boat,0.11783371865749359,351.36920166015625,0.3861560821533203,433.3251953125,15.452173233032227,
193,0,person,0.14997181296348572,617.177978515625,235.17849731445312,639.8387451171875,319.4363098144531,
194,0,person,0.13831232488155365,616.9725341796875,236.02374267578125,639.6297607421875,310.96417236328125,
195,0,person,0.19139046967029572,616.0380859375,229.75389099121094,639.8515625,315.27783203125,
196,0,person,0.12873370945453644,615.1488037109375,229.56468200683594,639.8472900390625,302.1785888671875,
197,0,person,0.3546803593635559,613.1990966796875,228.9477996826172,639.8511962890625,315.76251220703125,
198,0,person,0.30413684248924255,612.6185302734375,229.9692840576172,639.5018310546875,312.42840576171875,
199,0,person,0.5746033787727356,611.6472778320312,228.11215209960938,639.7117309570312,307.4338073730469,2.0
200,0,person,0.6025909185409546,611.9071655273438,227.75311279296875,639.77490234375,309.23699951171875,2.0
201,0,person,0.6086025238037109,610.0879516601562,226.63768005371094,639.8380737304688,309.0671691894531,2.0
202,0,person,0.6957774758338928,609.106201171875,227.13172912597656,639.8242797851562,308.1358642578125,2.0
203,0,person,0.17493367195129395,608.0894165039062,232.69346618652344,638.8482666015625,307.53106689453125,2.0
204,0,person,0.5890398025512695,608.0581665039062,228.97735595703125,639.3419799804688,309.1541442871094,2.0
205,0,person,0.6397927403450012,607.9169311523438,227.49171447753906,639.2134399414062,310.42242431640625,2.0
206,0,person,0.6559457778930664,607.5052490234375,227.02842712402344,638.700927734375,311.245849609375,2.0
